v1,v2
spam,Act  fassst!  L1mited  time  d!scount  on  sub$cription.
spam,yOu aRE da lUckY WINNEr of OUR MeGa COntESt 🎉.
spam,L0an  pre-appr0ved  ✔✔  applly  fasttt.
spam,YoU  aRe  da  lucky  WINNER  of  our  mega  contest  🎉.
spam,CongRaTulatiONS!!! yoU'vvVE WoN A $1818 G!FT cArD. claIM n0W!!!
ham,R wE MeETIN At 10 pm 2Day?
spam,Work frm home in 2750 hrz/week & earn $$$ fast!
ham,HappY bdAyyy! 🎂 hV a gR8 dAy.
ham,gmorning!  hope  }u  hv  a  productive  day.
spam,URgeNT!! yoUr AcC0unt HAZ beeN comPr0misEd... VER1fY IMm3DiaTEly.
ham,gmorning! hope u hv a productive day.
ham,lets catch up ovr ☕ this weekend!
spam,woRk frM HOME IN 1420 HrZ/wEEk & earN $$$ fAst!
ham,DONt forgEt tO bRinG The doCss fOr MeeTiN.
ham,DID  U  FINIsh  ThAT  aSSIgNMNT  4  tmrw?
spam,CONgRaTulATIONs!!! You'vvve wON a $2249 g!fT CArD. CLAIm n0w!!!
spam,EXCLUSIVE  offer!!!  Buy  1  get  1  fr33  on  all  prodductz.
spam,YOU aRe DA lUckY WinnER oF our mEGa coNTESt 🎉.
ham,dONT fORgEt tO brIng The DOCss FoR mEEtIn.
spam,YoU  aRe  da  lucky  WINNER  of  our  mega  {contest  🎉.
spam,Work frm home in 1061 hrz/week & earn $$-$ fast!
ham,Did  u  finish  that  assignmnt  4  tmrw?
spam,Work frm home in 2568 hrz/week & earn $$$ fast!
spam,L0an pre-appr0ved ✔✔ applly fa_sttt.
spam,L0an  pre-appr0ved  ✔✔  a|pplly  fasttt.
ham,R we meetin at 2 pm 2day?
ham,plzz send me the report by eve.
ham,dOnT  FORGET  tO  BRiNG  tHE  DoCsS  FOr  mEetIn.
spam,Claim ur fre coupons worth $1897 2dayyy.
spam,L0An PRE-APpR0vED ✔✔ aPPLly fAsTTt.
spam,Claim ur fre coupons worth $1376 2dayyy.
spam,"act  fASssT!  L1Mited  tiMe  d!sCoUnt  O,n  SuB$CriPTiON."
ham,See ya at the gym l8er today 💪.
ham,leTS catCH UP ovR ☕ tHis WEekeND!
spam,Act FaSSST! L1MITEd time D!sCounT ON Sub$CrIpTIon.
ham,"Hey, are we still on for lunch 2morrow?"
spam,Act  FasssT!  l1MitED  TiME  D!ScOUNt  oN  SUB$cripTiOn.
ham,SEe  YA  aT  the  gym  L8eR  toDaY  💪.
spam,URGENT!! Your acc0unt haz been compr0mised... ver1fy imm3diately.
spam,"You hv been s3lected for ,a FR33 vacat!on. Call n0w!"
spam,Claim ur fre coupons worth $4065 2dayyy.
spam,worK  FRM  HOME  in  589  hRz/WeEK  &  eARn  $$$  FASt!
spam,You  hV  b\EEn  S3LEcted  FoR  A  fr33  vAcAt!oN.  Call  N0w!
spam,uRgent!! yOUR ACc0UNT HaZ bEEn cOMpr0MIseD... vER1fY iMm3dIaTELy.
ham,dont forget to bring the docss .for meetin.
spam,"UrgENt!!  yoUr  ,AcC0unt  HAZ  BEeN  CompR0miseD...  ver1FY  iMm3DiAtely."
ham,See ya at the gym l8er today 💪.
spam,URGENT!! Your acc0unt haz been compr0mised... ver1fy imm3diately.
spam,Act  FAssst!  L1MiTEd  tImE  D!scOUnt  on  sUb$cRIPtIon.
ham,PlzZ sEnD Me thE REPoRt By EVe.
ham,Happy bdayyy! 🎂 hv a gr8 day.
spam,wiN Ca$H pRizzzES instANTLY By ENt3rinG tHIZ lUcKY dr@w!
spam,EXCLUSIVE offer!!! Buy 1 get: 1 fr33 on all prodductz.
spam,Win ca$h prizzzes instantly by ent3ring th`iz lucky dr@w!
ham,did u FiNIsH tHAT asSignmNT 4 tMRW?
spam,YoU aRe da lucky WINNER of our mega contest 🎉.
ham,See ya at the gym l8er today 💪.
spam,Act  fassst!  L1mited  time  d!scount  on  sub$cription.
ham,R  we  meetin  at  11  pm  2day?
ham,R  we  meetin  at  6  pm  2day?
spam,L0an pre-appr0ved ✔✔ applly fasttt.
ham,LETs cAtCH UP Ovr ☕ tHIS WEekenD!
spam,CLAim ur Fre COUpoNs Worth $4097 2DaYYy.
spam,URGENT!! Your acc0unt haz been compr0mised... ver1fy imm3diately.
ham,gmorning! hope u hv a productive day.
ham,plzz send& me the report by eve.
spam,Win ca$h prizzzes instantly by ent3ring thiz lucky dr@w!
spam,You hv been s3lected for a FR33 vacat!on. Call n0w!
ham,Happy bdayyy! 🎂 hv a gr8 day.
ham,Happy bdayyy! 🎂 hv a gr8 day.
spam,YOU HV Been s3LEcTed fOR A fr33 vAcaT!oN. cALl n0w!
spam,Win  ca$h  PrIZzzES  InSTANTly  by  Ent3RInG  THiZ  LuCKY  dr@w!
ham,pLzz sEND mE ThE RePort BY eve.
ham,plzz send me the report by eve.
spam,L0an pre-appr0ved ✔✔ applly fasttt.
ham,plzz send me the report by eve.
ham,"Hey, are we still on for lunch 2morrow?"
spam,Act fassst! L1mited time d!scount on sub$cription.
spam,Act fassst! L1mited time d!scount on sub$cription.
ham,See ya at the gym l8er today 💪.
spam,EXCLUSIVE offer!!! Buy 1 get 1 fr33 on all prodductz.
ham,DONT ForGeT To BRiNG tHe docsS for meETin.
ham,See  ya  at  the  gym  l8er  today  💪.
spam,EXCLUSIVE offer!!! Buy 1 get 1 fr33 on all prodductz.
spam,Win ca$h prizzzes instantly by ent3ring thiz lucky dr@w!
spam,Claim ur fre coupons worth $2427 2dayyy.
ham,Did u finish that assignmnt 4 tmrw?
spam,URGENT!! Your acc0unt haz been compr0mised... ver1fy imm3diately.
ham,dont forget to bring the docss for meetin.
ham,"hey, are WE sTilL on foR LUNch 2mOrRow?"
spam,L0an  pre-appr0ved  ✔✔  applly  fasttt.
ham,R WE meeTIn aT 10 pm 2DAy?
ham,Happy bdayyy! 🎂 hv a gr8 day.
spam,work frM HomE in 4930 HRz/WEEk & eARN $$$ FAST!
ham,LeTS  cATCh  uP  OVR  ☕  thIS  WEeKend!
spam,YoU aRe da lucky WINNER of our mega contest 🎉.
ham,dont forget to bring the docss for meetin.
ham,LeTS CATcH UP OVR ☕ THiS wEekEnd!
ham,dont forget to bring the docss for meetin.
spam,YoU aRe da lucky WINNER of our mega contest 🎉.
spam,acT FasSst! l1MITEd TImE D!scouNT oN sub$CRipTion.
ham,Did u finish that a\ssignmnt 4 tmrw?
spam,Act fassst! L1mited time d!scount on sub$cription.
spam,YOU ArE dA LUCky WiNNEr OF OUr mega ConTeST 🎉.
spam,Claim  ur  fr?e  coupons  worth  $4624  2dayyy.
spam,L0an pre-appr0ved ✔✔ applly fasttt.
spam,EXCLUSIVE offer!!! Buy 1 get 1 fr33 on all prodductz.
ham,Did u finish that assignmnt 4 tmrw?
ham,happY bDaYyy! 🎂 hv a GR8 DAY.
spam,ConGraTuLatIoNs!!! yOU'vvve woN a $1767 g!ft caRd. Claim N0W!!!
ham,dont forget to bring the docss for meetin.
ham,See ya at the gym l8er today 💪.
spam,EXCLUSIVE offer!!! Buy 1 get 1 fr33 on all prodductz.
ham,hapPy bdayYY! 🎂 HV A Gr8 DAY.
spam,L0an pre-appr0ved ✔✔ applly fasttt.
spam,L0an pre-appr0ved ✔✔ applly fasttt.
ham,"Hey, are we still on for lunch 2morrow?"
ham,plzz send me the report by eve.
ham,"Hey, are we still on for lunch 2morrow?"
ham,PlzZ Send me tHe rEPORT By EVE.
spam,You hv been s3lected for a FR33 vacat!on. Call n0w!
spam,EXCLUSIVE offer!!! Buy 1 get 1 fr33 on all prodductz.
ham,plzz  send  me  the  report  by  eve.
ham,Happy  bdayyy!  🎂  hv  a  gr8  day.
ham,seE ya aT tHe gym L8eR toDay 💪.
spam,You hv been s3lected for a FR3+3 vacat!on. Call n0w!
spam,L0an pre-appr0ved ✔✔ applly fasttt.
ham,See ya at the gym l8er today 💪.
spam,Act fassst! L1mited time d!scount on sub$cription.
spam,WIn ca$h prIzzzes iNstaNtLy BY enT3rINg tHiZ LUcky Dr@W!
spam,AcT faSsST! l1MIted tiME D!SCoUnT oN suB$CrIPTIoN.
ham,Did u finish that assignmnt 4 tmrw?
spam,EXCLUSIVE offer:!!! Buy 1 get 1 fr33 on all prodductz.
spam,Act fASsst! l1mItED TImE D!SCoUnT on SUB$cRIPTioN.
spam,Act fassst! L1mited time d!scount on sub$cription.
ham,R we meetin at 2 pm 2day?
spam,CONgratUlaTIOnS!!! yoU'vVVE won a $2310 g!fT cARd. ClaIM N0W!!!
spam,Win ca$h prizzzes instantly by ent3ring thiz lucky dr@w!
spam,YOU hv beeN s3LectEd fOr A fr33 vacAT!ON. CAll N0W!
ham,"Hey, are we still on for lunch 2morrow?"
ham,see  yA  At  the  Gym  l8eR  tODaY  💪.
ham,gmorning! hope u hv a productive day.
ham,#dont forget to bring the docss for meetin.
spam,URGE[NT!! Your acc0unt haz been compr0mised... ver1fy imm3diately.
spam,you ARe DA Lucky WInNer Of OuR meGa CONTeSt 🎉.
ham,Lookin forward 2 our trip nxt mnth 🚗.
ham,Happy bdayyy! 🎂 hv a gr8 day.
spam,Claim  ur  fre  coupons  worth  $3248  2dayyy.
spam,L0an pre-appr0ved ✔✔ applly fasttt.
ham,gmorning! hope u hv a productive da)y.
spam,conGRATULAtIONS!!! YoU'vVVe wOn A $2220 G!ft CArd. Claim N0w!!!
ham,Happy bdayyy! 🎂 hv a gr8 day.
spam,URGeNt!! yOUR ACc0<UnT HAz BeeN CoMPr0MIsed... VEr1Fy imM3DIAtElY.
spam,yoU HV BEEN s3LectEd foR A Fr33 Vacat!On. cALL n0w!
spam,CLaiM Ur fre coUpOns wOrTh $3463 2dAYYy.
ham,lETs CAtch uP OvR ☕ thiS wEeKEND!
ham,dont forget to bring the docss for meetin.
spam,Win ca$h prizzzes instantly by ent3ring thiz luck=y dr@w!
ham,PLzZ SeNd ME THE rePOrt bY Eve.
ham,See ya at the gym l8er today 💪.
spam,YoU aRe da lucky WINNER of our mega contest 🎉.
ham,gMorniNG! HOpE u hv A PRoDuctIVE dAy.
spam,Win ca$h prizzzes instantly by ent3ring thiz lucky dr@w!
spam,EXCLUSIVE offer!!! Buy 1 get 1 fr33 on all prodductz.
ham,R we meetin @at 2 pm 2day?
ham,R we meetin at 2 pm 2day?
ham,diD u FiNI^sh that AsSIgnmnt 4 tmRW?
spam,Work frm home in 3151 hrz/week & earn $$$ fast!
spam,Win ca$h prizzzes instantly by ent3ring thiz lucky dr@w!
spam,wIn ca$H PRiZzZes InsTaNtl?y By enT3RING tHIZ LuCKY DR@w!
ham,"Hey, are we still on for lunch 2morrow?"
spam,yOU ArE DA LUCkY WinNEr OF oUr meGA contEst 🎉.
spam,You hv been s3lected for a FR33 vacat!on. Call n0w!
ham,Did u finish that assignmnt 4 tmrw?
spam,CLAim UR FRE CouPons wORTh $4853 2dAyyy.
spam,Congratulations!!! You'vvve won a $4038 g!ft card. ClAim n0w!!!
spam,URGENT!! Your acc0unt haz been compr0mised... ver1fy imm3diately.
spam,cLaIm Ur frE coUPons WOrtH $2026 2?dAYyY.
ham,Lookin  forward  2  our  trip  nxt  mnth  🚗.
ham,R we @meetin at 7 pm 2day?
spam,Claim ur fre coupons worth $268 2dayyy.
spam,you hv bEeN s3LE'CTed fOr A FR33 VACat!on. cAlL N0W!
spam,congRatuLAtIOns!!! yoU'vVVe won A $3545 g!Ft card. cLaim n0w!!!
ham,Lookin forward 2 our trip nxt mnth 🚗.
ham,dont forget to bring the docss for meetin.
ham,gmO%RNInG! hopE u hv a ProduCTIvE dAY.
spam,Work frm home in 1972 hrz/week & earn $$$ fast!
ham,plzz send me the report by eve.
ham,Lookin forward 2 our trip nxt mnth 🚗.
spam,L0an  pre-appr0ved  ✔✔  applly  fasttt.
ham,Happy bdayyy! 🎂 hv a gr8 day.
ham,R we @meetin at 5 pm 2day?
spam,Clai:m ur fre coupons worth $3179 2dayyy.
spam,WORk frM hOme iN 1102 Hrz/WEEk & EaRN $$$ FasT!
ham,dont  forget  to  bring  the  docss  for  meetin.
spam,urGeNT!! yoUR acC0unt HAZ bEEN coMpR0misEd... veR1FY iMM3DIaTeLY.
spam,YOU HV BEen s3LECtEd foR a fR33 Vacat!On. CALl N0w!
ham,Lookin forward 2 our ;trip nxt mnth 🚗.
ham,See ya at the gym l8er today 💪.
spam,You hv been s3lected for a FR33 vacat!on. Call n0w!
spam,yOU ArE DA LUCKy WINNer OF OuR mEga CoNTEsT 🎉.
ham,"Hey, are we still on for lunch 2morrow?"
spam,urGeNt!!  Your  a]Cc0Unt  HAz  bEEn  compR0miSed...  VER1fY  imM3diAteLy.
ham,lets catch up ]ovr ☕ this weekend!
spam,Act fassst! L1mited time d!scount on sub$cription.
spam,woRK FRm hOme IN 2015 hRz/WEeK & EArn $$$ fASt!
spam,Claim Ur FrE couPonS WORTH $4206 2daYYY.
ham,Happy  bdayyy!  🎂  hv  a  gr8  day.
spam,Claim ur fre coupons worth $3168 2dayyy.
ham,See ya at the gym l8)er today 💪.
ham,dONt FORGeT to brINg ThE doCss FOR mEeTIn.
spam,yOu hv BeEN S3LECTEd fOR a Fr33 vacAT!On. call N0w!
ham,seE Ya aT THe GyM L8eR tOdaY 💪.
ham,SeE  Ya  aT  ThE  gym  l8Er  TodAy  💪.
spam,Win ca$h prizzzes instantly by ent3ring thiz luck/y dr@w!
ham,let_s catch up ovr ☕ this weekend!
ham,"Hey,  are  we  still  on  `for  lunch  2morrow?"
spam,wIn cA$h PrIZzZeS iNstantLy By Ent3RINg tHiz LuCky dr@w!
ham,dont forget to bring the docss for meetin.
spam,Act fassst! L1mited time d!scount on sub$cription.
ham,R we meetin at= 12 pm 2day?
ham,letS cATch UP OvR ☕ tHIs wEEKend!
ham,gmorning!  hope  u  hv  a  productive  day.
ham,Did u finish that assignmnt 4 t%mrw?
spam,L0an pre-appr0ved ✔✔ applly fasttt.
spam,yoU  ArE  DA  LUc'ky  wiNnEr  of  our  mega  cOntest  🎉.
spam,L0an pre-appr0ved ✔✔ applly fasttt.
spam,AcT fassSt! l1MiteD TiME D!sCOuNT ON sub$cRiPTiOn.
ham,lets catch up ovr ☕ this weekend!
spam,WIN= Ca$H PrIZzZES InStAntly By eNt3Ring THiZ LuCky Dr@w!
ham,r We meetiN aT 10 pM 2DAY?
spam,uRgEnt!! youR acc0uNT haZ bEEN coMPR0MiSed... vER1fY IMM3dIAtELY.
ham,dont  forget  to  bring  the  docss  for  meetin.
spam,Win ca$h prizzzes instantly by ent3ring thiz lucky dr@w!
spam,You  hv  bEEn  S3leCtED  For  a  Fr33  VaCaT!On.  CalL  N0w!
ham,Lookin forward 2 our trip nxt mnth 🚗.
spam,EXCLUSIVE offer!!! Buy 1 get 1 fr33 on all prodductz.
spam,Claim ur fre coupon_s worth $4213 2dayyy.
ham,dId  u  fiNIsh  tHaT  asSIgnmNT  4  tMRw?
ham,Lookin forward 2 our trip nxt mn)th 🚗.
spam,WoRk  FRm  home  iN  3725  HRz/WEEk  &  Earn  $$$  FaST!
ham,lets catch up ovr ☕ this weekend!
spam,Claim ur fre coupons worth $1963 2dayyy.
ham,Did u finish that assignmnt 4 tmrw?
ham,Did u finisH ThaT ASSiGNmNT 4 TmrW?
spam,L0an pre-appr0ved ✔✔ applly fasttt.
spam,Claim ur fre coupons worth $&4633 2dayyy.
ham,R  we  meetin  at  4  pm  2day?
ham,plzz send me the report by eve.
ham,See  ya  at  the  gym  l8er  today  💪.
spam,L0an pre-appr0ved ✔✔ applly fasttt.
ham,R we M.EeTIN aT 10 pM 2DAy?
spam,WiN Ca$H PrIzZzEs insTAntLY bY eNt3RING ThIz lUCkY dr@W!
ham,"Hey, are we still on for lunch 2morrow?"
ham,dont forget to bring the docss for meetin.
spam,WoRk frm hoMe In 4892 hRZ/weeK & earn $$$ fasT!
ham,dont forget to bring the docss for meetin.
spam,URGENT!! Your acc0unt haz been compr0mised... ver1fy imm3diately.
spam,CONgratulAtiONS!!! yoU'Vvve woN A $4340 G!FT CarD. CLaIm N0w!!!
spam,EXCLUSIVE offer!!! Buy 1 get 1 fr33 on all prodductz.
spam,You hV BeeN s3LEcTED For A fR33 VaCaT!on. cALl n0w!
ham,lets catch up ovr ☕ this weekend!
ham,Happy bdayyy! 🎂 hv a gr8 day.
spam,Congratulations!!! You'vvve won a $1400 g!ft card. ClAim n0w!!!
spam,EXCLUsive  OffER!!!  buy  1  GET  1  fR33  on  aLL  ProdDUcTZ.
ham,Did u finish that assignmnt 4 tmrw?
ham,r wE MEetiN aT 11 pm 2dAy?
ham,"HEy,  Are  wE  STIlL  On  For  LunCH  2MoRrOW?"
ham,Lookin forward 2 our trip nxt mnth 🚗.
spam,YOU  aRe  DA  lucKY  WiNner  OF  OuR  meGA  CONTeSt  🎉.
spam,EXCLUSIVE offer!!! Buy 1 get 1 fr33 on all prodductz.
ham,"Hey, are we still on# for lunch 2morrow?"
ham,Happy  bdayyy!  🎂  hv  a  gr8  day.
ham,"Hey, are we still on for lunch 2morro}w?"
spam,YoU  aRe  da  lucky  WINNER  of  our  mega  contest  🎉.
spam,WiN Ca$h prIzzZES iNStANTlY By ENt3ring tHIz LuCKy dR@W!
ham,DOnT FoRGeT TO BRinG THe DOCsS FoR MeETin.
ham,lets catch\ up ovr ☕ this weekend!
spam,ExCluSiVE offer!!! bUy 1 GET 1 fR33 ON aLl pROddUctz.
ham,lets catch up ovr ☕ this weekend!
ham,HapPy  bDAYyy!  🎂  Hv  A  GR8!  daY.
ham,"Hey], are we still on for lunch 2morrow?"
spam,You hv been s3lected for a FR33 vacat!on. Call n0w!
spam,URGENT!! Your acc0unt haz been compr0mised... ver1fy imm3diately.
spam,URGENT!!  Your  acc0unt  haz  been  compr0mised...  ver{1fy  imm3diately.
spam,Act fassst! L1mited time d!scount on sub$cription.
ham,HAPPy BDAyyy! 🎂 hv a gr8 DaY.
ham,See ya at the gym l8er today 💪.
